Running query: taint_structs.ql on database /home/till/thesis/hantro-db...
|    flow_direction     |             source_function             |              sink_function               |         struct_name          | access_type |             file             |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_qp                                   | v4l2_vp8_quantization        | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_lf                                   | v4l2_vp8_segment             | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_vp8_prob_update                   | v4l2_vp8_segment             | Read        | hantro_vp8.c                 |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_lf                                   | v4l2_vp8_segment             | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_buffers                              | v4l2_vp8_segment             | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_qp                                   | v4l2_vp8_segment             | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_buffers                              | v4l2_vp8_segment             | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | cfg_qp                                   | v4l2_vp8_segment             | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_segment                           | v4l2_vp9_loop_filter         | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_loop_filter                       | v4l2_vp9_loop_filter         | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_quant                             | v4l2_vp9_quantization        | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | is_lossless                              | v4l2_vp9_quantization        | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_segment                           | v4l2_vp9_quantization        | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_probs                             | v4l2_vp9_segmentation        | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | update_feat_and_flag                     | v4l2_vp9_segmentation        | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_segment                           | v4l2_vp9_segmentation        | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | start_prepare_run                       | config_registers                         | v4l2_vp9_segmentation        | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_ctrl                         | hantro_get_dec_buf_addr                  | vb2_buffer                   | Read        | hantro.h                     |
| Driver query → Kernel | hantro_get_dst_buf                      | update_ctx_cur_info                      | vb2_buffer                   | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | hantro_get_dec_buf_addr                  | vb2_buffer                   | Read        | hantro.h                     |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_end_prepare_run                   | vb2_buffer                   | Read        | hantro_drv.c                 |
| Driver query → Kernel | hantro_get_src_buf                      | rockchip_vpu981_av1_dec_run              | vb2_buffer                   | Read        | rockchip_vpu981_hw_av1_dec.c |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_start_prepare_run                 | vb2_buffer                   | Read        | hantro_drv.c                 |
| Driver query → Kernel | start_prepare_run                       | hantro_get_dec_buf_addr                  | vb2_buffer                   | Read        | hantro.h                     |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_update_requires_hold_capture_buf  | vb2_queue                    | Write       | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_src_buf                      | hantro_update_requires_request           | vb2_queue                    | Write       | hantro_v4l2.c                |
| Driver query → Kernel | hantro_update_requires_hold_capture_buf | hantro_update_requires_hold_capture_buf  | vb2_queue                    | Write       | hantro_v4l2.c                |
| Driver query → Kernel | hantro_get_dst_buf                      | hantro_h1_jpeg_enc_run                   | vb2_v4l2_buffer              | Read        | hantro_h1_jpeg_enc.c         |
| Driver query → Kernel | hantro_get_dst_buf                      | hantro_postproc_g2_enable                | vb2_v4l2_buffer              | Read        | hantro_postproc.c            |
| Driver query → Kernel | hantro_get_dst_buf                      | rockchip_vpu981_postproc_enable          | vb2_v4l2_buffer              | Read        | rockchip_vpu981_hw_av1_dec.c |
| Driver query → Kernel | hantro_get_dst_buf                      | config_registers                         | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | rockchip_vpu2_jpeg_enc_run               | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_jpeg_enc.c  |
| Driver query → Kernel | hantro_get_dst_buf                      | get_ref_buf                              | vb2_v4l2_buffer              | Read        | hantro_g2_vp9_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | set_buffers                              | vb2_v4l2_buffer              | Read        | hantro_g1_h264_dec.c         |
| Driver query → Kernel | hantro_get_dst_buf                      | set_buffers                              | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_h264_dec.c  |
| Driver query → Kernel | hantro_get_dst_buf                      | set_ref                                  | vb2_v4l2_buffer              | Read        | hantro_g2_hevc_dec.c         |
| Driver query → Kernel | hantro_get_dst_buf                      | hantro_h1_jpeg_enc_done                  | vb2_v4l2_buffer              | Read        | hantro_h1_jpeg_enc.c         |
| Driver query → Kernel | hantro_get_dst_buf                      | cfg_buffers                              | vb2_v4l2_buffer              | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | cfg_buffers                              | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_vp8_dec.c   |
| Driver query → Kernel | hantro_get_dst_buf                      | cfg_ref                                  | vb2_v4l2_buffer              | Read        | hantro_g1_vp8_dec.c          |
| Driver query → Kernel | hantro_get_dst_buf                      | cfg_ref                                  | vb2_v4l2_buffer              | Read        | rockchip_vpu2_hw_vp8_dec.c   |
