Running query: find_used_structs.ql on database /home/till/thesis/hantro-db...
|              func_name               |          struct_name          | struct_origin | access_type |             file             |
| cur_to_req                           | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| cur_to_req                           | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| cur_to_req                           | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_private_ref                     | list_head                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_private_ref                     | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_private_ref                     | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_private_ref                     | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_ref                             | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_ref                             | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_ref                             | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_ref_lock                        | mutex                         | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_ref_lock                        | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| find_ref_lock                        | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| frame_vector_destroy                 | frame_vector                  | kernel        | Read-only   | frame_vector.c               |
| frame_vector_to_pages                | frame_vector                  | kernel        | Read-only   | frame_vector.c               |
| frame_vector_to_pfns                 | frame_vector                  | kernel        | Read-only   | frame_vector.c               |
| get_queue_ctx                        | v4l2_m2m_ctx                  | kernel        | Read-only   | v4l2-mem2mem.c               |
| get_queue_ctx                        | v4l2_m2m_queue_ctx            | kernel        | Read-only   | v4l2-mem2mem.c               |
| handler_new_ref                      | list_head                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| handler_new_ref                      | mutex                         | kernel        | Read-only   | v4l2-ctrls-core.c            |
| handler_new_ref                      | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| handler_new_ref                      | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| handler_new_ref                      | v4l2_ctrl_ptr                 | kernel        | Modified    | v4l2-ctrls-core.c            |
| handler_new_ref                      | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| handler_set_err                      | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| hantro_buf_request_complete          | media_request                 | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_buf_request_complete          | media_request_object          | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_buf_request_complete          | v4l2_ctrl_handler             | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_postproc_free                 | device                        | kernel        | Read-only   | hantro_postproc.c            |
| hantro_postproc_free                 | v4l2_fh                       | kernel        | Read-only   | hantro_postproc.c            |
| hantro_postproc_free                 | v4l2_m2m_ctx                  | kernel        | Read-only   | hantro_postproc.c            |
| hantro_postproc_free                 | v4l2_m2m_queue_ctx            | kernel        | Read-only   | hantro_postproc.c            |
| hantro_queue_setup                   | v4l2_pix_format_mplane        | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | media_request                 | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | media_request_object          | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | v4l2_ctrl_handler             | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | v4l2_fh                       | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_return_bufs                   | v4l2_m2m_ctx                  | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_stop_streaming                | v4l2_event                    | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_stop_streaming                | v4l2_fh                       | kernel        | Read-only   | hantro_v4l2.c                |
| hantro_stop_streaming                | v4l2_m2m_ctx                  | kernel        | Read-only   | hantro_v4l2.c                |
| new_to_req                           | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| new_to_req                           | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| new_to_req                           | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| node2id                              | list_head                     | kernel        | Read-only   | v4l2-ctrls-priv.h            |
| node2id                              | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-priv.h            |
| ptr_to_ptr                           | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| ptr_to_ptr                           | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| put_vaddr_frames                     | frame_vector                  | kernel        | Read-only   | frame_vector.c               |
| req_alloc_array                      | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| req_alloc_array                      | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| req_alloc_array                      | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| rockchip_vpu981_av1_dec_exit         | device                        | kernel        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | device                        | kernel        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| sev_pos                              | v4l2_subscribed_event         | kernel        | Read-only   | v4l2-event.c                 |
| std_init_compound                    | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_av1_sequence        | kernel        | Modified    | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_fwht_params         | kernel        | Modified    | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_h264_scaling_matrix | kernel        | Read-only   | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_h264_sps            | kernel        | Modified    | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_mpeg2_picture       | kernel        | Modified    | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_mpeg2_quantisation  | kernel        | Read-only   | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_mpeg2_sequence      | kernel        | Modified    | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_vp8_frame           | kernel        | Modified    | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2_ctrl_vp9_frame           | kernel        | Modified    | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free               | list_head                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free               | mutex                         | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free               | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free               | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free               | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free               | v4l2_ctrl_ref                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free               | v4l2_subscribed_event         | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_free_request       | list_head                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_handler_free_request       | media_request_object          | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_handler_free_request       | media_request_object_ops      | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_handler_free_request       | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_handler_init_class         | list_head                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_init_class         | lock_class_key                | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_init_class         | mutex                         | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_init_class         | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_init_request       | list_head                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_handler_init_request       | media_request_object          | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_handler_init_request       | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_new                        | (unnamed class/struct/union)  | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | (unnamed class/struct/union)  | kernel        | Modified    | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | list_head                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | mutex                         | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | v4l2_ctrl_ops                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | v4l2_ctrl_type_ops            | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new_std                    | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new_std                    | v4l2_ctrl_ops                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_new_std                    | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
| v4l2_ctrl_request_bind               | list_head                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_bind               | media_request                 | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_bind               | media_request_object          | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_bind               | media_request_object_ops      | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_bind               | mutex                         | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_bind               | v4l2_ctrl_handler             | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_clone              | list_head                     | kernel        | Read-only   | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_clone              | mutex                         | kernel        | Read-only   | v4l2-ctrls-request.c         |
