Running query: ioctl_recursive_calls.ql on database /home/till/thesis/hantro-db...
|         caller_file          | core_scope  | unique_ioctls_calling_this |                                                              ioctl_list                                                               |         called_file          |
| frame_vector.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | err.h                        |
| frame_vector.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | mmzone.h                     |
| frame_vector.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | slab.h                       |
| frame_vector.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | mm.h                         |
| frame_vector.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | frame_vector.h               |
| rockchip_vpu981_hw_av1_dec.c | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | printk.h                     |
| rockchip_vpu981_hw_av1_dec.c | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | slab.h                       |
| rockchip_vpu981_hw_av1_dec.c | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | dma-mapping.h                |
| rockchip_vpu981_hw_av1_dec.c | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | string_fortified.h           |
| rockchip_vpu981_hw_av1_dec.c | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_drv.c                 |
| rockchip_vpu981_hw_av1_dec.c | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_hw_av1_dec.c | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_filmgrain.c     |
| rockchip_vpu981_hw_av1_dec.c | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_entropymode.c   |
| rockchip_vpu981_hw_av1_dec.c | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro.h                     |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_drv.c                 |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_filmgrain.c     |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_entropymode.c   |
