Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |             called_func              |          dest_file           |
| 2_kernel | pfn_valid                            | mmzone.h                     |
| 2_kernel | bitmap_weight                        | bitmap.h                     |
| 2_kernel | bitmap_find_next_zero_area           | bitmap.h                     |
| 2_kernel | bitmap_free                          | bitmap.h                     |
| 2_kernel | bitmap_zalloc                        | bitmap.h                     |
| 2_kernel | queued_spin_is_locked                | qspinlock.h                  |
| 2_kernel | __raw_spin_lock_irqsave              | spinlock_api_smp.h           |
| 2_kernel | spin_unlock_irqrestore               | spinlock.h                   |
| 2_kernel | spinlock_check                       | spinlock.h                   |
| 2_kernel | __wake_up                            | wait.h                       |
| 2_kernel | mutex_unlock                         | mutex.h                      |
| 2_kernel | mutex_lock                           | mutex.h                      |
| 2_kernel | __mutex_init                         | mutex.h                      |
| 2_kernel | mutex_destroy                        | mutex.h                      |
| 2_kernel | get_order                            | getorder.h                   |
| 2_kernel | refcount_dec_and_test                | refcount.h                   |
| 2_kernel | refcount_read                        | refcount.h                   |
| 2_kernel | refcount_set                         | refcount.h                   |
| 2_kernel | ktime_get_ns                         | timekeeping.h                |
| 2_kernel | __free_pages                         | gfp.h                        |
| 2_kernel | alloc_pages_noprof                   | gfp.h                        |
| 2_kernel | kvfree                               | slab.h                       |
| 2_kernel | kvmalloc_array_node_noprof           | slab.h                       |
| 2_kernel | __kvmalloc_node_noprof               | slab.h                       |
| 2_kernel | kzalloc_noprof                       | slab.h                       |
| 2_kernel | kmalloc_array_noprof                 | slab.h                       |
| 2_kernel | kfree                                | slab.h                       |
| 2_kernel | _dev_err                             | dev_printk.h                 |
| 2_kernel | file_inode                           | fs.h                         |
| 2_kernel | iminor                               | fs.h                         |
| 2_kernel | put_device                           | device.h                     |
| 2_kernel | get_device                           | device.h                     |
| 2_kernel | iounmap                              | io.h                         |
| 2_kernel | set_page_dirty_lock                  | mm.h                         |
| 2_kernel | unpin_user_pages                     | mm.h                         |
| 2_kernel | split_page                           | mm.h                         |
| 2_kernel | invalidate_kernel_vmap_range         | highmem.h                    |
| 2_kernel | sg_alloc_table_from_pages            | scatterlist.h                |
| 2_kernel | sg_free_table                        | scatterlist.h                |
| 2_kernel | list_is_head                         | list.h                       |
| 2_kernel | dma_sync_sgtable_for_cpu             | dma-mapping.h                |
| 2_kernel | dma_unmap_sgtable                    | dma-mapping.h                |
| 2_kernel | dma_vunmap_noncontiguous             | dma-mapping.h                |
| 2_kernel | dma_free_noncontiguous               | dma-mapping.h                |
| 2_kernel | dma_alloc_noncontiguous              | dma-mapping.h                |
| 2_kernel | dma_free_attrs                       | dma-mapping.h                |
| 2_kernel | dma_alloc_attrs                      | dma-mapping.h                |
| 2_kernel | dma_unmap_resource                   | dma-mapping.h                |
| 2_kernel | dma_map_sgtable                      | dma-mapping.h                |
| 2_kernel | vfree                                | vmalloc.h                    |
| 2_kernel | vmalloc_user_noprof                  | vmalloc.h                    |
| 2_kernel | vm_unmap_ram                         | vmalloc.h                    |
| 2_kernel | frame_vector_pfns                    | frame_vector.h               |
| 2_kernel | frame_vector_pages                   | frame_vector.h               |
| 2_kernel | frame_vector_count                   | frame_vector.h               |
| 2_kernel | trace_vb2_buf_done                   | vb2.h                        |
| 2_kernel | media_request_object_complete        | mc-request.c                 |
| 2_kernel | media_request_object_unbind          | mc-request.c                 |
| 2_kernel | media_request_object_bind            | mc-request.c                 |
| 2_kernel | media_request_object_init            | mc-request.c                 |
| 2_kernel | media_request_object_find            | mc-request.c                 |
| 2_kernel | media_request_object_put             | mc-request.c                 |
| 2_kernel | media_request_put                    | mc-request.c                 |
| 2_kernel | v4l2_ctrl_unlock                     | v4l2-ctrls.h                 |
| 2_kernel | v4l2_ctrl_lock                       | v4l2-ctrls.h                 |
| 2_kernel | dma_buf_vunmap_unlocked              | dma-buf.h                    |
| 2_kernel | dma_buf_unmap_attachment_unlocked    | dma-buf.h                    |
| 2_kernel | dma_buf_put                          | dma-buf.h                    |
| 2_kernel | dma_buf_detach                       | dma-buf.h                    |
| 2_kernel | v4l2_m2m_dst_buf_remove              | v4l2-mem2mem.h               |
| 2_kernel | v4l2_m2m_src_buf_remove              | v4l2-mem2mem.h               |
| 2_kernel | v4l2_m2m_has_stopped                 | v4l2-mem2mem.h               |
| 2_kernel | v4l2_m2m_mark_stopped                | v4l2-mem2mem.h               |
| 2_kernel | v4l2_m2m_clear_state                 | v4l2-mem2mem.h               |
| 2_kernel | v4l2_m2m_buf_done                    | v4l2-mem2mem.h               |
| 2_kernel | clear_bit                            | instrumented-atomic.h        |
| 2_kernel | const_test_bit                       | generic-non-atomic.h         |
| 2_kernel | atomic_dec                           | atomic-instrumented.h        |
| 2_kernel | atomic_set                           | atomic-instrumented.h        |
| 2_kernel | atomic_read                          | atomic-instrumented.h        |
| 2_kernel | set_bit                              | instrumented-atomic.h        |
| 2_kernel | memset                               | string_fortified.h           |
| 2_kernel | memcpy                               | string_fortified.h           |
| 2_kernel | IS_ERR_OR_NULL                       | err.h                        |
| 2_kernel | IS_ERR                               | err.h                        |
| 2_kernel | PTR_ERR                              | err.h                        |
| 2_kernel | ERR_PTR                              | err.h                        |
| 2_kernel | list_empty                           | list.h                       |
