Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |                  caller_func                   |                  called_func                   |             file             |
| 1_driver | device_run                                     | rockchip_vpu981_av1_dec_run                    | rockchip_vpu981_hw_av1_dec.c |
| 1_driver | fill_event                                     | user_flags                                     | v4l2-ctrls-priv.h            |
| 1_driver | find_ref                                       | find_private_ref                               | v4l2-ctrls-core.c            |
| 1_driver | find_ref_lock                                  | find_ref                                       | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                                | find_ref_lock                                  | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                                | handler_set_err                                | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                                | v4l2_ctrl_new_std                              | v4l2-ctrls-core.c            |
| 1_driver | handler_new_ref                                | node2id                                        | v4l2-ctrls-priv.h            |
| 1_driver | hantro_av1_mv_size                             | hantro_av1_num_sbs                             | hantro_hw.h                  |
| 1_driver | hantro_av1_s_ctrl                              | hantro_reset_raw_fmt                           | hantro_v4l2.c                |
| 1_driver | hantro_buf_plane_check                         | vb2_plane_size                                 | videobuf2-core.h             |
| 1_driver | hantro_buf_prepare                             | hantro_buf_plane_check                         | hantro_v4l2.c                |
| 1_driver | hantro_buf_prepare                             | vb2_get_drv_priv                               | videobuf2-core.h             |
| 1_driver | hantro_buf_prepare                             | vb2_set_plane_payload                          | videobuf2-core.h             |
| 1_driver | hantro_buf_queue                               | vb2_is_streaming                               | videobuf2-core.h             |
| 1_driver | hantro_buf_queue                               | vb2_set_plane_payload                          | videobuf2-core.h             |
| 1_driver | hantro_buf_queue                               | vb2_get_drv_priv                               | videobuf2-core.h             |
| 1_driver | hantro_buf_queue                               | v4l2_event_queue_fh                            | v4l2-event.c                 |
| 1_driver | hantro_buf_queue                               | v4l2_m2m_buf_queue                             | v4l2-mem2mem.c               |
| 1_driver | hantro_buf_queue                               | v4l2_m2m_last_buffer_done                      | v4l2-mem2mem.c               |
| 1_driver | hantro_buf_request_complete                    | v4l2_ctrl_request_complete                     | v4l2-ctrls-request.c         |
| 1_driver | hantro_buf_request_complete                    | vb2_get_drv_priv                               | videobuf2-core.h             |
| 1_driver | hantro_check_depth_match                       | hantro_get_format_depth                        | hantro_v4l2.c                |
| 1_driver | hantro_end_prepare_run                         | hantro_postproc_disable                        | hantro_postproc.c            |
| 1_driver | hantro_end_prepare_run                         | hantro_needs_postproc                          | hantro_postproc.c            |
| 1_driver | hantro_end_prepare_run                         | v4l2_ctrl_request_complete                     | v4l2-ctrls-request.c         |
| 1_driver | hantro_end_prepare_run                         | hantro_get_src_buf                             | hantro.h                     |
| 1_driver | hantro_end_prepare_run                         | hantro_postproc_enable                         | hantro_postproc.c            |
| 1_driver | hantro_find_format                             | hantro_get_formats                             | hantro_v4l2.c                |
| 1_driver | hantro_find_format                             | hantro_get_postproc_formats                    | hantro_v4l2.c                |
| 1_driver | hantro_get_ctrl                                | v4l2_ctrl_find                                 | v4l2-ctrls-core.c            |
| 1_driver | hantro_get_dec_buf_addr                        | hantro_needs_postproc                          | hantro_postproc.c            |
| 1_driver | hantro_get_dec_buf_addr                        | vb2_dma_contig_plane_dma_addr                  | videobuf2-dma-contig.h       |
| 1_driver | hantro_get_dec_buf_addr                        | hantro_postproc_get_dec_buf_addr               | hantro_postproc.c            |
| 1_driver | hantro_get_default_fmt                         | hantro_get_postproc_formats                    | hantro_v4l2.c                |
| 1_driver | hantro_get_default_fmt                         | hantro_check_depth_match                       | hantro_v4l2.c                |
| 1_driver | hantro_get_default_fmt                         | hantro_get_formats                             | hantro_v4l2.c                |
| 1_driver | hantro_hevc_compressed_size                    | hantro_hevc_luma_compressed_size               | hantro_hw.h                  |
| 1_driver | hantro_hevc_compressed_size                    | hantro_hevc_chroma_compressed_size             | hantro_hw.h                  |
| 1_driver | hantro_irq_done                                | hantro_job_finish                              | hantro_drv.c                 |
| 1_driver | hantro_irq_done                                | v4l2_m2m_get_curr_priv                         | v4l2-mem2mem.c               |
| 1_driver | hantro_irq_done                                | rockchip_vpu981_av1_dec_done                   | rockchip_vpu981_hw_av1_dec.c |
| 1_driver | hantro_job_finish                              | hantro_job_finish_no_pm                        | hantro_drv.c                 |
| 1_driver | hantro_job_finish_no_pm                        | v4l2_m2m_buf_done_and_job_finish               | v4l2-mem2mem.c               |
| 1_driver | hantro_job_finish_no_pm                        | v4l2_event_queue_fh                            | v4l2-event.c                 |
| 1_driver | hantro_postproc_alloc                          | hantro_postproc_buffer_size                    | hantro_postproc.c            |
| 1_driver | hantro_postproc_buffer_size                    | hantro_hevc_compressed_size                    | hantro_hw.h                  |
| 1_driver | hantro_postproc_buffer_size                    | v4l2_fill_pixfmt_mp                            | v4l2-common.c                |
| 1_driver | hantro_postproc_buffer_size                    | hantro_av1_mv_size                             | hantro_hw.h                  |
| 1_driver | hantro_postproc_buffer_size                    | hantro_hevc_mv_size                            | hantro_hw.h                  |
| 1_driver | hantro_postproc_buffer_size                    | hantro_h264_mv_size                            | hantro_hw.h                  |
| 1_driver | hantro_postproc_buffer_size                    | hantro_vp9_mv_size                             | hantro_hw.h                  |
| 1_driver | hantro_postproc_buffer_size                    | hantro_get_default_fmt                         | hantro_v4l2.c                |
| 1_driver | hantro_postproc_disable                        | rockchip_vpu981_postproc_disable               | rockchip_vpu981_hw_av1_dec.c |
| 1_driver | hantro_postproc_enable                         | rockchip_vpu981_postproc_enable                | rockchip_vpu981_hw_av1_dec.c |
| 1_driver | hantro_postproc_get_dec_buf_addr               | hantro_postproc_buffer_size                    | hantro_postproc.c            |
| 1_driver | hantro_postproc_get_dec_buf_addr               | hantro_postproc_alloc                          | hantro_postproc.c            |
