Running query: find_untracked_calls.ql on database /home/till/thesis/hantro-db...
|        ops_struct         |        field         |          called_from           | raw_access_path |            file            | line |        implementation_func         |
| vb2_buf_ops               | init_buffer          | __vb2_queue_alloc              | buf_ops         | videobuf2-core.c           |  519 | __init_vb2_v4l2_buffer             |
| vb2_buf_ops               | verify_planes_array  | __vb2_get_done_vb              | buf_ops         | videobuf2-core.c           | 2094 | __verify_planes_array_core         |
| vb2_ops                   | buf_request_complete | __vb2_queue_cancel             | ops             | videobuf2-core.c           | 2284 | hantro_buf_request_complete        |
| vb2_ops                   | buf_queue            | __enqueue_in_driver            | ops             | videobuf2-core.c           | 1546 | hantro_buf_queue                   |
| vb2_ops                   | stop_streaming       | __vb2_queue_cancel             | ops             | videobuf2-core.c           | 2204 | hantro_stop_streaming              |
| vb2_ops                   | start_streaming      | vb2_start_streaming            | ops             | videobuf2-core.c           | 1789 | hantro_start_streaming             |
| vb2_ops                   | buf_prepare          | __prepare_dmabuf               | ops             | videobuf2-core.c           | 1513 | hantro_buf_prepare                 |
| vb2_ops                   | buf_prepare          | __prepare_userptr              | ops             | videobuf2-core.c           | 1356 | hantro_buf_prepare                 |
| vb2_ops                   | buf_prepare          | __prepare_mmap                 | ops             | videobuf2-core.c           | 1259 | hantro_buf_prepare                 |
| vb2_ops                   | buf_out_validate     | vb2_core_qbuf                  | ops             | videobuf2-core.c           | 1866 | hantro_buf_out_validate            |
| vb2_ops                   | buf_out_validate     | __buf_prepare                  | ops             | videobuf2-core.c           | 1565 | hantro_buf_out_validate            |
| vb2_ops                   | wait_finish          | __vb2_wait_for_done_vb         | ops             | videobuf2-core.c           | 2054 | vb2_ops_wait_finish                |
| vb2_ops                   | wait_prepare         | __vb2_wait_for_done_vb         | ops             | videobuf2-core.c           | 2040 | vb2_ops_wait_prepare               |
| vb2_ops                   | queue_setup          | vb2_core_create_bufs           | ops             | videobuf2-core.c           | 1094 | hantro_queue_setup                 |
| vb2_ops                   | queue_setup          | vb2_core_create_bufs           | ops             | videobuf2-core.c           | 1118 | hantro_queue_setup                 |
| vb2_ops                   | queue_setup          | vb2_core_reqbufs               | ops             | videobuf2-core.c           |  945 | hantro_queue_setup                 |
| vb2_ops                   | queue_setup          | vb2_core_reqbufs               | ops             | videobuf2-core.c           |  993 | hantro_queue_setup                 |
| media_request_object_ops  | unbind               | media_request_object_unbind    | ops             | mc-request.c               |  477 | vb2_req_unbind                     |
| media_request_object_ops  | unbind               | media_request_object_unbind    | ops             | mc-request.c               |  477 | v4l2_ctrl_request_unbind           |
| v4l2_ctrl_ops             | s_ctrl               | try_or_set_cluster             | ops             | v4l2-ctrls-core.c          | 2401 | hantro_av1_s_ctrl                  |
| v4l2_ctrl_ops             | s_ctrl               | try_or_set_cluster             | ops             | v4l2-ctrls-core.c          | 2401 | hantro_hevc_s_ctrl                 |
| v4l2_ctrl_ops             | s_ctrl               | try_or_set_cluster             | ops             | v4l2-ctrls-core.c          | 2401 | hantro_vp9_s_ctrl                  |
| v4l2_ctrl_ops             | s_ctrl               | try_or_set_cluster             | ops             | v4l2-ctrls-core.c          | 2401 | hantro_jpeg_s_ctrl                 |
| v4l2_ctrl_ops             | try_ctrl             | try_or_set_cluster             | ops             | v4l2-ctrls-core.c          | 2396 | hantro_try_ctrl                    |
| v4l2_ctrl_type_ops        | init                 | v4l2_ctrl_new                  | type_ops        | v4l2-ctrls-core.c          | 2008 | v4l2_ctrl_type_op_init             |
| v4l2_ctrl_type_ops        | equal                | cluster_changed                | type_ops        | v4l2-ctrls-core.c          | 2352 | v4l2_ctrl_type_op_equal            |
| v4l2_subscribed_event_ops | add                  | v4l2_event_subscribe           | ops             | v4l2-event.c               |  262 | v4l2_ctrl_add_event                |
| v4l2_subscribed_event_ops | replace              | __v4l2_event_queue_fh          | ops             | v4l2-event.c               |  127 | v4l2_ctrl_replace                  |
| v4l2_subscribed_event_ops | replace              | __v4l2_event_queue_fh          | ops             | v4l2-event.c               |  127 | v4l2_event_src_replace             |
| v4l2_subscribed_event_ops | del                  | v4l2_event_unsubscribe         | ops             | v4l2-event.c               |  322 | v4l2_ctrl_del_event                |
| v4l2_subscribed_event_ops | merge                | __v4l2_event_queue_fh          | ops             | v4l2-event.c               |  133 | v4l2_ctrl_merge                    |
| v4l2_subscribed_event_ops | merge                | __v4l2_event_queue_fh          | ops             | v4l2-event.c               |  133 | v4l2_event_src_merge               |
| v4l2_m2m_ops              | device_run           | v4l2_m2m_try_run               | m2m_ops         | v4l2-mem2mem.c             |  284 | device_run                         |
| hantro_postproc_ops       | enable               | hantro_postproc_enable         | postproc_ops    | hantro_postproc.c          |  325 | hantro_postproc_g2_enable          |
| hantro_postproc_ops       | enable               | hantro_postproc_enable         | postproc_ops    | hantro_postproc.c          |  325 | hantro_postproc_g1_enable          |
| hantro_postproc_ops       | enable               | hantro_postproc_enable         | postproc_ops    | hantro_postproc.c          |  325 | rockchip_vpu981_postproc_enable    |
| hantro_postproc_ops       | disable              | hantro_postproc_disable        | postproc_ops    | hantro_postproc.c          |  317 | hantro_postproc_g2_disable         |
| hantro_postproc_ops       | disable              | hantro_postproc_disable        | postproc_ops    | hantro_postproc.c          |  317 | hantro_postproc_g1_disable         |
| hantro_postproc_ops       | disable              | hantro_postproc_disable        | postproc_ops    | hantro_postproc.c          |  317 | rockchip_vpu981_postproc_disable   |
| hantro_postproc_ops       | enum_framesizes      | hanto_postproc_enum_framesizes | postproc_ops    | hantro_postproc.c          |  334 | hantro_postproc_g2_enum_framesizes |
| hantro_codec_ops          | init                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  912 | hantro_vp9_dec_init                |
| hantro_codec_ops          | init                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  912 | hantro_vp8_dec_init                |
| hantro_codec_ops          | init                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  912 | hantro_mpeg2_dec_init              |
| hantro_codec_ops          | init                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  912 | rockchip_vpu981_av1_dec_init       |
| hantro_codec_ops          | init                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  912 | hantro_hevc_dec_init               |
| hantro_codec_ops          | init                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  912 | hantro_h264_dec_init               |
| hantro_codec_ops          | done                 | hantro_irq_done                | codec_ops       | hantro_drv.c               |  113 | hantro_g2_vp9_dec_done             |
| hantro_codec_ops          | done                 | hantro_irq_done                | codec_ops       | hantro_drv.c               |  113 | rockchip_vpu981_av1_dec_done       |
| hantro_codec_ops          | done                 | hantro_irq_done                | codec_ops       | hantro_drv.c               |  113 | rockchip_vpu2_jpeg_enc_done        |
| hantro_codec_ops          | done                 | hantro_irq_done                | codec_ops       | hantro_drv.c               |  113 | hantro_h1_jpeg_enc_done            |
| hantro_codec_ops          | exit                 | hantro_stop_streaming          | codec_ops       | hantro_v4l2.c              |  956 | hantro_vp9_dec_exit                |
| hantro_codec_ops          | exit                 | hantro_stop_streaming          | codec_ops       | hantro_v4l2.c              |  956 | hantro_vp8_dec_exit                |
| hantro_codec_ops          | exit                 | hantro_stop_streaming          | codec_ops       | hantro_v4l2.c              |  956 | hantro_mpeg2_dec_exit              |
| hantro_codec_ops          | exit                 | hantro_stop_streaming          | codec_ops       | hantro_v4l2.c              |  956 | rockchip_vpu981_av1_dec_exit       |
| hantro_codec_ops          | exit                 | hantro_stop_streaming          | codec_ops       | hantro_v4l2.c              |  956 | hantro_hevc_dec_exit               |
| hantro_codec_ops          | exit                 | hantro_stop_streaming          | codec_ops       | hantro_v4l2.c              |  956 | hantro_h264_dec_exit               |
| hantro_codec_ops          | exit                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  927 | hantro_vp9_dec_exit                |
| hantro_codec_ops          | exit                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  927 | hantro_vp8_dec_exit                |
| hantro_codec_ops          | exit                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  927 | hantro_mpeg2_dec_exit              |
| hantro_codec_ops          | exit                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  927 | rockchip_vpu981_av1_dec_exit       |
| hantro_codec_ops          | exit                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  927 | hantro_hevc_dec_exit               |
| hantro_codec_ops          | exit                 | hantro_start_streaming         | codec_ops       | hantro_v4l2.c              |  927 | hantro_h264_dec_exit               |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | hantro_g1_reset                    |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | imx8m_vpu_g1_reset                 |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | rockchip_vpu2_enc_reset            |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | rockchip_vpu2_dec_reset            |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | rockchip_vpu1_enc_reset            |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | rk3066_vpu_dec_reset               |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | stm32mp25_venc_reset               |
| hantro_codec_ops          | reset                | rockchip_vpu2_vp8_dec_run      | codec_ops       | rockchip_vpu2_hw_vp8_dec.c |  539 | sunxi_vpu_reset                    |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | hantro_g2_vp9_dec_run              |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | rockchip_vpu2_vp8_dec_run          |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | hantro_g1_vp8_dec_run              |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | rockchip_vpu2_mpeg2_dec_run        |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | hantro_g1_mpeg2_dec_run            |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | rockchip_vpu981_av1_dec_run        |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | hantro_g2_hevc_dec_run             |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | hantro_g1_h264_dec_run             |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | rockchip_vpu2_h264_dec_run         |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | rockchip_vpu2_jpeg_enc_run         |
| hantro_codec_ops          | run                  | device_run                     | codec_ops       | hantro_drv.c               |  189 | hantro_h1_jpeg_enc_run             |
