Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |             caller_func              |             called_func              |             file             |
| 1_driver | vb2_dc_put_userptr                   | vb2_destroy_framevec                 | videobuf2-memops.c           |
| 1_driver | vb2_destroy_framevec                 | put_vaddr_frames                     | frame_vector.c               |
| 1_driver | vb2_destroy_framevec                 | frame_vector_destroy                 | frame_vector.c               |
| 1_driver | vb2_req_unbind                       | __init_vb2_v4l2_buffer               | videobuf2-v4l2.c             |
| 1_driver | vb2_reqbufs                          | vb2_verify_memory_type               | videobuf2-core.c             |
| 1_driver | vb2_reqbufs                          | vb2_set_flags_and_caps               | videobuf2-v4l2.c             |
| 1_driver | vb2_reqbufs                          | vb2_core_reqbufs                     | videobuf2-core.c             |
| 1_driver | vb2_verify_memory_type               | __verify_mmap_ops                    | videobuf2-core.c             |
| 1_driver | vb2_verify_memory_type               | vb2_fileio_is_active                 | videobuf2-core.h             |
| 1_driver | vb2_verify_memory_type               | __verify_userptr_ops                 | videobuf2-core.c             |
| 1_driver | vb2_verify_memory_type               | __verify_dmabuf_ops                  | videobuf2-core.c             |
| 2_kernel | __setup_offsets                      | _printk                              | printk.h                     |
| 2_kernel | __v4l2_event_queue_fh                | list_add_tail                        | list.h                       |
| 2_kernel | __v4l2_event_queue_fh                | __wake_up                            | wait.h                       |
| 2_kernel | __v4l2_event_queue_fh                | list_del                             | list.h                       |
| 2_kernel | __vb2_buf_mem_alloc                  | PTR_ERR                              | err.h                        |
| 2_kernel | __vb2_buf_mem_alloc                  | IS_ERR_OR_NULL                       | err.h                        |
| 2_kernel | __vb2_buf_mem_free                   | _printk                              | printk.h                     |
| 2_kernel | __vb2_plane_dmabuf_put               | dma_buf_put                          | dma-buf.h                    |
| 2_kernel | __vb2_queue_alloc                    | _printk                              | printk.h                     |
| 2_kernel | __vb2_queue_alloc                    | kzalloc_noprof                       | slab.h                       |
| 2_kernel | __vb2_queue_alloc                    | kfree                                | slab.h                       |
| 2_kernel | __vb2_queue_alloc                    | bitmap_find_next_zero_area           | bitmap.h                     |
| 2_kernel | __vb2_queue_cancel                   | __raw_spin_lock_irqsave              | spinlock_api_smp.h           |
| 2_kernel | __vb2_queue_cancel                   | INIT_LIST_HEAD                       | list.h                       |
| 2_kernel | __vb2_queue_cancel                   | _printk                              | printk.h                     |
| 2_kernel | __vb2_queue_cancel                   | spin_unlock_irqrestore               | spinlock.h                   |
| 2_kernel | __vb2_queue_cancel                   | spinlock_check                       | spinlock.h                   |
| 2_kernel | __vb2_queue_cancel                   | __wake_up                            | wait.h                       |
| 2_kernel | __vb2_queue_cancel                   | media_request_object_unbind          | mc-request.c                 |
