Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                 col0                 |             col1             |
| const_test_bit                       | generic-non-atomic.h         |
| __arch_hweight64                     | arch_hweight.h               |
| __arch_hweight32                     | arch_hweight.h               |
| __ll_sc__cmpxchg_case_acq_64         | atomic_ll_sc.h               |
| __ll_sc__cmpxchg_case_acq_32         | atomic_ll_sc.h               |
| __ll_sc__cmpxchg_case_acq_16         | atomic_ll_sc.h               |
| __ll_sc__cmpxchg_case_acq_8          | atomic_ll_sc.h               |
| __ll_sc_atomic64_andnot              | atomic_ll_sc.h               |
| __ll_sc_atomic64_or                  | atomic_ll_sc.h               |
| __ll_sc_atomic_fetch_sub_release     | atomic_ll_sc.h               |
| __ll_sc_atomic_sub                   | atomic_ll_sc.h               |
| __ll_sc_atomic_fetch_add_relaxed     | atomic_ll_sc.h               |
| __lse__cmpxchg_case_acq_64           | atomic_lse.h                 |
| __lse__cmpxchg_case_acq_32           | atomic_lse.h                 |
| __lse__cmpxchg_case_acq_16           | atomic_lse.h                 |
| __lse__cmpxchg_case_acq_8            | atomic_lse.h                 |
| __lse_atomic64_or                    | atomic_lse.h                 |
| __lse_atomic64_andnot                | atomic_lse.h                 |
| __lse_atomic_fetch_sub_release       | atomic_lse.h                 |
| __lse_atomic_fetch_add_release       | atomic_lse.h                 |
| __lse_atomic_fetch_add_relaxed       | atomic_lse.h                 |
| __lse_atomic_sub                     | atomic_lse.h                 |
| __lse_atomic_add                     | atomic_lse.h                 |
| __cmpxchg_acq                        | cmpxchg.h                    |
| __cmpxchg_case_acq_64                | cmpxchg.h                    |
| __cmpxchg_case_acq_32                | cmpxchg.h                    |
| __cmpxchg_case_acq_16                | cmpxchg.h                    |
| __cmpxchg_case_acq_8                 | cmpxchg.h                    |
| arch_atomic64_or                     | atomic.h                     |
| arch_atomic64_andnot                 | atomic.h                     |
| arch_atomic_fetch_sub_release        | atomic.h                     |
| atomic_fetch_sub_release             | atomic-instrumented.h        |
| arch_atomic_fetch_add_relaxed        | atomic.h                     |
| atomic_fetch_add_relaxed             | atomic-instrumented.h        |
| arch_atomic_sub                      | atomic.h                     |
| raw_atomic64_or                      | atomic-arch-fallback.h       |
| raw_atomic64_andnot                  | atomic-arch-fallback.h       |
| raw_atomic_try_cmpxchg_acquire       | atomic-arch-fallback.h       |
| raw_atomic_cmpxchg_acquire           | atomic-arch-fallback.h       |
| raw_atomic_dec                       | atomic-arch-fallback.h       |
| raw_atomic_fetch_sub_release         | atomic-arch-fallback.h       |
| raw_atomic_sub                       | atomic-arch-fallback.h       |
| raw_atomic_fetch_add_relaxed         | atomic-arch-fallback.h       |
| raw_atomic_set                       | atomic-arch-fallback.h       |
| raw_atomic_read                      | atomic-arch-fallback.h       |
| raw_atomic_long_or                   | atomic-long.h                |
| raw_atomic_long_andnot               | atomic-long.h                |
| instrument_atomic_read_write         | instrumented.h               |
| instrument_atomic_write              | instrumented.h               |
| instrument_atomic_read               | instrumented.h               |
| atomic_try_cmpxchg_acquire           | atomic-instrumented.h        |
| atomic_dec                           | atomic-instrumented.h        |
| atomic_set                           | atomic-instrumented.h        |
| atomic_read                          | atomic-instrumented.h        |
| set_bit                              | instrumented-atomic.h        |
| arch_clear_bit                       | atomic.h                     |
| arch_set_bit                         | atomic.h                     |
| hweight_long                         | bitops.h                     |
| __sw_hweight64                       | bitops.h                     |
| __sw_hweight32                       | bitops.h                     |
| memset                               | string_fortified.h           |
| memcpy                               | string_fortified.h           |
| kasan_check_write                    | kasan-checks.h               |
| kasan_check_read                     | kasan-checks.h               |
| kcsan_check_access                   | kcsan-checks.h               |
| IS_ERR_OR_NULL                       | err.h                        |
| IS_ERR                               | err.h                        |
| PTR_ERR                              | err.h                        |
| ERR_PTR                              | err.h                        |
| __must_check_overflow                | overflow.h                   |
