Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                     col0                     |             col1             |
| log_post_write_mmio                          | io.h                         |
| log_write_mmio                               | io.h                         |
| __raw_readl                                  | io.h                         |
| __raw_writel                                 | io.h                         |
| __compiletime_assert_471                     | v4l2-cci.c                   |
| __compiletime_assert_471                     | ioport.h                     |
| __compiletime_assert_471                     | mm.h                         |
| __compiletime_assert_471                     | io.h                         |
| __compiletime_assert_470                     | v4l2-cci.c                   |
| __compiletime_assert_470                     | mm.h                         |
| __compiletime_assert_470                     | io.h                         |
| free_irq                                     | interrupt.h                  |
| set_page_dirty_lock                          | mm.h                         |
| unpin_user_pages                             | mm.h                         |
| split_page                                   | mm.h                         |
| __compiletime_assert_473                     | v4l2-cci.c                   |
| __compiletime_assert_473                     | mm.h                         |
| __compiletime_assert_472                     | v4l2-cci.c                   |
| __compiletime_assert_472                     | mm.h                         |
| invalidate_kernel_vmap_range                 | highmem.h                    |
| sg_alloc_table_from_pages                    | scatterlist.h                |
| sg_alloc_table_from_pages_segment            | scatterlist.h                |
| sg_free_table                                | scatterlist.h                |
| sg_init_table                                | scatterlist.h                |
| dma_free_coherent                            | dma-mapping.h                |
| dma_sync_sgtable_for_cpu                     | dma-mapping.h                |
| dma_unmap_sgtable                            | dma-mapping.h                |
| dma_sync_sg_for_cpu                          | dma-mapping.h                |
| dma_dev_need_sync                            | dma-mapping.h                |
| __dma_sync_sg_for_cpu                        | dma-mapping.h                |
| dma_vunmap_noncontiguous                     | dma-mapping.h                |
| dma_vmap_noncontiguous                       | dma-mapping.h                |
| dma_free_noncontiguous                       | dma-mapping.h                |
| dma_alloc_noncontiguous                      | dma-mapping.h                |
| dma_free_attrs                               | dma-mapping.h                |
| dma_alloc_attrs                              | dma-mapping.h                |
| dma_unmap_resource                           | dma-mapping.h                |
| dma_map_sgtable                              | dma-mapping.h                |
| dma_unmap_sg_attrs                           | dma-mapping.h                |
| vfree                                        | vmalloc.h                    |
